Name,Latitude,Longitude
Old Hall Lane,53.44681,-2.206594
Lytham Road,53.44458,-2.205935
Fallowfield Shopping Centre,53.44367,-2.20566
The Unicorn,53.48315,-2.238069
Lavister Avenue,53.41992,-2.212903
Didsbury Road,53.41196,-2.214744
Berwick Avenue,53.4166,-2.213835
Berwick Avenue,53.41611,-2.214118
Dresden Street,53.51135,-2.181982
Gaskell Street,53.50024,-2.17702
Minshull Street South,53.47706,-2.232867
Dale Street,53.48161,-2.233163
Upper Brook Street,53.46737,-2.2284
Brunswick Parish Church,53.46815,-2.227184
Brunswick Parish Church,53.46866,-2.225907
Ardwick Green,53.46976,-2.22412
Piccadilly Station,53.47922,-2.232246
Carruthers Street,53.48135,-2.214929
Carruthers Street,53.48046,-2.215738
Oswald Street,53.47943,-2.217119
Great Ancoats Street,53.47907,-2.217328
Sunny Brow Park,53.45861,-2.175069
Radnor Street,53.460531,-2.176343
Ryder Brow Station,53.45604,-2.172875
Hemsworth Road,53.45439,-2.172416
Hemsworth Road,53.45356,-2.168468
Sandown Crescent,53.4521,-2.17179
Wembley Road,53.45396,-2.1764
Balmain Avenue,53.45381,-2.179326
Belle Vue,53.46182,-2.181996
Belle Vue,53.46193,-2.18242
Windsor Street,53.45987,-2.181219
Windsor Road,53.45934,-2.181006
Buckley Road,53.45819,-2.181212
Buckley Road,53.45765,-2.181029
Darras Road,53.4561,-2.181203
Darras Road,53.45556,-2.18099
Melland Road,53.45396,-2.181134
Melland Road,53.45313,-2.180739
Hall Moss Road,53.526,-2.196073
Matthews Lane,53.44961,-2.179519
Manor Road,53.44771,-2.179406
Manor Road,53.44725,-2.179825
Milford Drive,53.43647,-2.182188
Stockport Road,53.43595,-2.183737
Stockport Road,53.435757,-2.183751
Carrill Grove,53.445506,-2.191381
Manchester Grammar School,53.44697,-2.210328
Manchester Grammar School,53.44697,-2.210328
Delamere Road,53.44215,-2.189921
Longden Road,53.45029,-2.193134
Longden Road,53.44983,-2.1925
Woodfold Avenue,53.44786,-2.191798
Mayford Road,53.447565,-2.191451
Carrill Grove,53.44561,-2.191637
Albert Road,53.44371,-2.191463
Albert Road,53.442882,-2.190948
Crayfield Road,53.44121,-2.189149
Crayfield Road,53.4407,-2.188379
Broom Lane,53.43917,-2.186806
Broom Lane,53.4395,-2.18738
Lloyd Road,53.43642,-2.184943
Crossley Road,53.436145,-2.194244
Cringle Park,53.43712,-2.193752
Crompton Road,53.43721,-2.193872
Clare Road,53.43925,-2.193009
Milwain Road,53.43976,-2.193237
Alma Road,53.442439,-2.192904
Alma Road,53.442432,-2.192996
Levenshulme Station,53.44413,-2.193227
Levenshulme Station,53.44397,-2.193316
Slade Lane,53.44365,-2.197922
Slade Lane,53.44308,-2.199695
Fortuna Grove,53.442776,-2.201702
Fortuna Grove,53.44247,-2.202402
Albert Road,53.44305,-2.199033
Scarisbrick Road,53.44139,-2.199913
Scarisbrick Road,53.44083,-2.199881
Cringle Hall Road,53.43966,-2.200387
York House,53.439066,-2.199812
Acacias School,53.43747,-2.200226
Acacias School,53.43734,-2.20003
Crossley Road,53.43586,-2.200309
Crossley Road,53.43539,-2.200186
Mauldeth Road,53.4329,-2.200671
Errwood Road,53.4316,-2.196978
Mauldeth Road,53.43222,-2.200578
Farmers Arms,53.43064,-2.201127
St Bernard's Church,53.42913,-2.201075
Burnage High School,53.42764,-2.202738
Burnage High School,53.42744,-2.202647
Ladybarn Lane,53.44193,-2.214489
Ladybarn Lane,53.44207,-2.21321
Lindleywood Road,53.44202,-2.208859
Lindleywood Road,53.44188,-2.210875
Laystall Street,53.48195,-2.227424
Errwood Road,53.43552,-2.193624
Crossley Road,53.43505,-2.19448
Avon Road,53.43182,-2.195759
Avon Road,53.431,-2.195876
Shawbrook Road,53.4295,-2.196561
Shawbrook Road,53.42877,-2.196784
Westdean Crescent,53.4273,-2.199245
Westdean Crescent,53.42703,-2.19947
Carrgreen Close,53.42464,-2.20351
Carrgreen Close,53.42438,-2.20378
Barcicroft Road,53.42284,-2.207787
Barcicroft Road,53.4225,-2.208161
Lane End Road,53.42104,-2.210862
Burnage Lane,53.42074,-2.211989
Burnage Station,53.42087,-2.214127
Clayton Avenue,53.42153,-2.22847
Clayton Avenue,53.42172,-2.229193
Wilmslow Road,53.4225,-2.231666
Wilmslow Road,53.45214,-2.221407
Wilmslow Road,53.45209,-2.221124
Birch Polygon,53.45285,-2.215628
Birch Polygon,53.453,-2.215463
Ashover Avenue,53.46709,-2.203484
Birchfields Road,53.45363,-2.212153
Anson Road,53.45411,-2.210514
Clarence Road,53.45478,-2.207506
Clarence Road,53.45483,-2.206783
Longsight Market,53.45605,-2.201293
Longsight Market,53.45622,-2.201037
Slade Lane,53.45464,-2.197551
Slade Lane,53.45449,-2.197023
East Road,53.45338,-2.195783
East Road,53.45287,-2.195058
Birchfields Road,53.442,-2.206299
Birchfields Road,53.44183,-2.206344
Burnage Lane,53.43262,-2.201031
Burnage Lane,53.43252,-2.201166
Kingsway,53.43229,-2.206719
Mauldeth Road Rail Station,53.433,-2.209642
Mauldeth Road Primary School,53.43364,-2.210428
The Unicorn,53.48287,-2.237239
Palmerston Street,53.4808,-2.212181
West Avenue,53.51481,-2.169616
West Avenue,53.51503,-2.169918
Nuthurst Road,53.51735,-2.168902
Elsham Gardens,53.458749,-2.189769
Moseley Road,53.44279,-2.199393
Monsall Road,53.50249,-2.204997
Monsall Road,53.502527,-2.204545
Bunsen Street,53.482418,-2.234102
Peel Grove,53.45889,-2.195056
St Anselm Hall,53.45411,-2.212095
St Matthew's High School,53.51803,-2.175103
Broadway,53.51699,-2.1697
Lindeth Avenue,53.45715,-2.168452
Ercall Avenue,53.46894,-2.207605
St Benedict's Square,53.46953,-2.204038
Ercall Avenue,53.46902,-2.207666
St Benedict's Square,53.46945,-2.205468
Armitage Court,53.46869,-2.20188
Etihad Campus,53.48435,-2.19671
Vickers Street,53.49342,-2.207921
Legh Street,53.4645,-2.22349
Velopark Metrolink Stop,53.48118,-2.194616
Willow Street,53.47976,-2.194247
Vickers Street,53.49298,-2.208009
Kay Street,53.47436,-2.198833
Ridgway Street,53.485033,-2.217628
West Point,53.44518,-2.198802
Collingwood Road,53.44744,-2.197653
St Agnes Church,53.45045,-2.197366
Crowcroft Road,53.45234,-2.197013
Stockport Road,53.4545,-2.198032
Garforth Avenue,53.48744,-2.220219
Longsight Library & Learning Centre,53.458176,-2.202111
Piccadilly,53.48054,-2.234363
Plymouth Grove,53.46029,-2.20556
Longsight Police Station,53.46139,-2.207734
Plymouth Grove West,53.46262,-2.20987
Winterford Avenue,53.464507,-2.213217
Devonshire Street,53.46606,-2.215951
Apollo Theatre,53.46896,-2.222142
Apollo Theatre,53.4694,-2.222792
Cavanagh Close,53.4674,-2.219859
Cavanagh Close,53.4672,-2.218774
Devonshire Street,53.46573,-2.215061
Winterford Avenue,53.46426,-2.212447
Plymouth Grove West,53.4625,-2.209366
Plymouth Grove,53.46064,-2.205908
Longsight Shopping Centre,53.45737,-2.200877
Longsight Library & Learning Centre,53.458019,-2.201739
Crowcroft Road,53.45151,-2.196829
Park Avenue,53.44644,-2.197739
West Point,53.44494,-2.19865
Church Lane,53.50514,-2.194876
Halliford Road,53.50332,-2.194446
The Gateway,53.503305,-2.198733
Business Park,53.50241,-2.201407
Stevenson Square,53.48242,-2.233815
Princess Street,53.47377,-2.238408
Palmerston Street,53.48087,-2.212169
Nicholls College,53.46923,-2.217474
Every Street,53.48145,-2.215954
Sacred Heart Church,53.457577,-2.173274
Ryder Brow Station,53.45601,-2.172724
Beckett Street,53.46075,-2.176358
Hampden Crescent,53.46286,-2.178325
High Street,53.483,-2.238083
Gorton Lane,53.46742,-2.185288
Gorton Lane,53.46742,-2.185288
Toft Road,53.45944,-2.175449
Balmain Avenue,53.45371,-2.179537
Wembley Road,53.4539,-2.176541
Harlow Drive,53.45245,-2.174517
Sandown Crescent,53.45231,-2.170405
Greenlea Avenue,53.4532,-2.168451
Southcross Road,53.45398,-2.171798
Sheffield Street,53.47697,-2.225378
Gorton Lane,53.46736,-2.185138
New Cross,53.48515,-2.23261
Stevenson Square,53.48249,-2.233695
East Didsbury Station,53.41053,-2.221596
Postal Street,53.48261,-2.231782
Debdale Lane,53.4568,-2.160198
Central Park Metrolink Stop,53.50204,-2.1994
Central Park Metrolink Stop,53.5022,-2.199551
Piccadilly Rail Station,53.47823,-2.231924
Piccadilly App - Ducie Street,53.47794,-2.231697
Newton Heath Terminus,53.50191,-2.183615
Turning Circle (Stop F),53.50195,-2.18363
Oldham Street,53.48233,-2.235232
Droylsden Road,53.50012,-2.171879
Newton Heath Youth Club,53.500833,-2.171316
Cawdor Road,53.4444,-2.21837
St Mary's,53.458423,-2.227042
Dagenham Road,53.455604,-2.22519
Rusholme Centre,53.45417,-2.224595
Rusholme Centre,53.45361,-2.223523
Dickenson Road,53.45265,-2.222674
Platt Fields Park,53.45062,-2.221293
Platt Lane,53.45083,-2.22177
Grangethorpe Road,53.44828,-2.219836
Grangethorpe Road,53.44838,-2.220137
Old Hall Lane,53.44565,-2.217835
Owen's Park,53.44343,-2.21835
Langley Road,53.44541,-2.21812
Wilmslow Road,53.44272,-2.219325
Wilmslow Road,53.44264,-2.220017
Wellington Road,53.44294,-2.221991
Wellington Road,53.44291,-2.22315
Hart Road,53.44323,-2.225591
Hart Road,53.44323,-2.226886
Yew Tree Road,53.44357,-2.231178
Yew Tree Road,53.44371,-2.230998
Wilbraham Road,53.44401,-2.231692
Hart Road,53.44632,-2.230515
Platt Lane,53.44883,-2.230379
Platt Fields Park,53.4501,-2.227464
Heald Place,53.44988,-2.227854
Didsbury Road,53.41187,-2.214999
Annesley Road,53.51883,-2.167671
Crown Green Close,53.42447,-2.2014
Droylsden Road,53.50016,-2.172014
Pink Bank Lane,53.45841,-2.192569
Wilmslow Road,53.4511,-2.223223
Piccadilly Gardens,53.4817,-2.235138
Nethervale Drive,53.50727,-2.210853
Nethervale Drive,53.50743,-2.211503
Two Hundred,53.50526,-2.212532
Two Hundred,53.50546,-2.212458
Palgrave Avenue,53.49968,-2.213559
Hayden Court,53.49893,-2.212998
Turner Street,53.48412,-2.238044
Peel Grove,53.45924,-2.195102
Parkin Street,53.45588,-2.192904
Santley Street,53.45469,-2.19213
East Road,53.45369,-2.191644
Stovell Avenue,53.452,-2.190386
Stovell Avenue,53.4522,-2.190673
Longden Road,53.45005,-2.190121
Maida Street,53.44928,-2.188703
Maida Street,53.44928,-2.187905
Hornbeam Road,53.44976,-2.184158
Hornbeam Road,53.449607,-2.184534
Cranmere Avenue,53.45018,-2.180982
Cranmere Avenue,53.4499,-2.182291
Rosina Street,53.47276,-2.15384
Colmore Drive,53.52719,-2.195234
Cotton Grass Drive,53.52839,-2.194802
Cotton Grass Drive,53.52928,-2.195545
Colmore Drive,53.52742,-2.195537
Selkirk Drive,53.52429,-2.199655
Selkirk Drive,53.52435,-2.199399
Athol Street,53.45542,-2.15885
Hyde Road,53.46241,-2.171124
Dalbeattie Street,53.51355,-2.210674
Moston Cemetery,53.51699,-2.18834
Grange Drive,53.52528,-2.197473
Pottery Lane,53.46546,-2.197466
Whitebeck Ct,53.52856,-2.191756
Cartmel Court,53.52878,-2.190565
Fairfield Avenue,53.47252,-2.151775
Whitebrook Road,53.44194,-2.231636
Wilbraham Road,53.44424,-2.231859
Gardener's Arms,53.526653,-2.176065
Gardener's Arms,53.526228,-2.176356
Haverfield Road,53.52759,-2.207289
Haverfield Road,53.52742,-2.20765
Benmore Road,53.52866,-2.20393
Benmore Road,53.52888,-2.203418
Grasdene Avenue,53.5268,-2.210272
Grasdene Avenue,53.52668,-2.210286
Rochdale Road,53.52635,-2.211778
Rochdale Road,53.52151,-2.214197
Rochdale Road,53.52158,-2.213413
Polefield Road,53.52243,-2.20847
Polefield Road,53.52237,-2.208108
Boggart Hole Clough,53.52353,-2.204101
Boggart Hole Clough,53.52348,-2.204403
Grange Park Road,53.52377,-2.200045
Grange Park Road,53.52362,-2.20015
Booth Hall Road,53.52354,-2.195775
Booth Hall Road,53.52354,-2.197208
Southdown Crescent,53.52323,-2.191611
Southdown Crescent,53.52326,-2.193481
Elaine Avenue,53.52274,-2.185334
The Charlestown,53.522893,-2.188472
Moston Lane,53.52259,-2.183388
Moston Lane,53.52254,-2.184081
Leyburn Road,53.52322,-2.181309
Leyburn Road,53.52339,-2.180601
Gardener's Arms,53.52497,-2.177183
Gardener's Arms,53.5251,-2.176671
Shawford Road,53.52161,-2.182117
Newton Heath & Moston Metrolink Stop,53.50301,-2.184434
Newton Heath & Moston Metrolink Stop,53.50409,-2.184589
St Mary's Nursing Home,53.51059,-2.182431
Williams Road,53.505698,-2.184278
Dean Brook Inn,53.50809,-2.183249
Williams Road,53.506428,-2.184069
St Mary's Nursing Home,53.50994,-2.182489
Dean Brook Inn,53.50881,-2.183162
Tymm Street,53.51337,-2.181131
Tymm Street,53.51352,-2.181267
Lightbowne Church,53.51019,-2.192834
Deanway,53.51005,-2.193919
Lily Lane,53.5114,-2.196187
Piccadilly Rail Station,53.477856,-2.231907
Piccadilly Rail Station,53.47776,-2.231922
Stevenson Square,53.48252,-2.233394
Farmers Arms,53.43084,-2.200917
The Unicorn,53.48289,-2.237329
Piccadilly Gardens,53.48095,-2.235646
Cartmel Court,53.52944,-2.190477
Piccadilly Rail Station,53.47633,-2.22927
East Didsbury Metrolink Stop,53.41169,-2.219
East Didsbury Metrolink Stop,53.41162,-2.218623
School Lane,53.41452,-2.216893
School Lane,53.41536,-2.216837
Homestead Crescent,53.41813,-2.215121
Homestead Crescent,53.41747,-2.215148
Fog Lane,53.42016,-2.213973
Fog Lane,53.42052,-2.213297
Barcicroft Road,53.42345,-2.212349
Barcicroft Road,53.42354,-2.211913
Green End Road,53.42772,-2.210354
Green End Road,53.427,-2.21023
Briarfield Road,53.42979,-2.209356
Briarfield Road,53.42923,-2.209217
Mauldeth Road,53.43176,-2.207996
Mauldeth Road,53.43306,-2.207851
Grangethorpe Drive,53.43737,-2.206458
Grangethorpe Drive,53.43626,-2.206302
Moseley Road,53.4417,-2.204251
Moseley Road,53.44175,-2.204236
Moseley Road,53.44146,-2.203903
Northwold Drive,53.52766,-2.183198
Back Piccadilly,53.48088,-2.234154
Tesco,53.46096,-2.171871
Minshull Street,53.478032,-2.233973
Fernclough Road,53.50887,-2.215536
Fernclough Road,53.50896,-2.215551
Piccadilly,53.47978,-2.233334
Rochdale Road,53.48747,-2.232186
Melville Close,53.47128,-2.160132
Thomas Street,53.48329,-2.234529
Kirkbridge Road,53.480933,-2.208598
Kirkbridge Road,53.48097,-2.208417
Rylance Street,53.47992,-2.205188
Doric Close,53.47965,-2.204011
Sarah Street,53.47892,-2.199502
Sarah Street,53.47879,-2.199125
Clayton Hall Metrolink Stop,53.48241,-2.183154
Greenside Street,53.479467,-2.1851
Elrick Walk,53.478739,-2.184298
Tarland Walk,53.47848,-2.181977
Bob Massey Close,53.47853,-2.181419
Meech Street,53.476212,-2.180912
Meech Street,53.47569,-2.180895
Parkhouse Street,53.47457,-2.181207
Ashton Old Road,53.47414,-2.181129
Tib Street,53.48295,-2.236862
Sacred Heart Church,53.45737,-2.173347
Lidl,53.47281,-2.166028
Printworks Lane,53.44605,-2.177171
Southwold Close,53.44572,-2.175001
Southwold Close,53.4458,-2.174971
Printworks Lane,53.44593,-2.177185
Longden Road,53.45004,-2.190272
Tutbury Street,53.47982,-2.216669
Tutbury Street,53.47951,-2.216833
Upper Monsall Street,53.50258,-2.206413
Nuthurst Road,53.51648,-2.168914
Canberra Street,53.48418,-2.177375
Canberra Street,53.48438,-2.177255
Schofield Street,53.48338,-2.175397
Ducie Street,53.48095,-2.225309
Ivy Street,53.513936,-2.195383
Ivy Street,53.5138,-2.195369
Leighton Street,53.51436,-2.192581
Blue Bell,53.51541,-2.191455
Blue Bell,53.51572,-2.190747
Moston Cemetery,53.51656,-2.189469
Horncastle Road,53.51817,-2.185616
Horncastle Road,53.51843,-2.185556
Broadhurst Fields,53.51926,-2.182845
Broadhurst Fields,53.51952,-2.1825
Charlestown Road,53.52192,-2.182315
Enderby Road,53.51833,-2.178965
Broadway,53.51674,-2.168236
New Moston Library,53.51664,-2.168371
Parkhurst Avenue,53.51591,-2.165005
Parkhurst Avenue,53.51561,-2.164311
Stockport Road,53.45929,-2.202091
New Bank Street,53.45945,-2.201851
Northmoor Road,53.45989,-2.194398
Northmoor Road,53.46014,-2.193932
Pink Bank Lane,53.460615,-2.191963
Pink Bank Lane,53.46051,-2.191855
Belle Vue,53.4623,-2.1837
Belle Vue,53.4625,-2.183354
Gardener's Arms,53.52478,-2.173457
Gardener's Arms,53.52475,-2.17403
Moston Rail Station,53.52395,-2.170618
Wilson Street,53.477778,-2.193202
Grey Mare Lane,53.47677,-2.193691
Glenside Avenue,53.45601,-2.16981
Tib Street,53.48295,-2.236862
Piccadilly Gardens,53.480933,-2.235254
Portland Street,53.48091,-2.235209
Velopark Metrolink Stop,53.481932,-2.194092
Velopark Metrolink Stop,53.48194,-2.193338
Clayton Lane,53.48293,-2.182252
Cromwell Range,53.44747,-2.219003
Cromwell Range,53.44745,-2.21932
Grindlow Street,53.46087,-2.210879
Kay Street,53.47432,-2.19811
Melland School,53.45155,-2.173946
Broadway,53.52137,-2.16661
Gardener's Arms,53.52473,-2.176006
Gardener's Arms,53.52456,-2.176427
Leyburn Road,53.52268,-2.177249
Leyburn Road,53.52248,-2.177701
Nuthurst Road,53.51919,-2.179452
Nuthurst Road,53.51928,-2.179693
Barcliffe Avenue,53.51921,-2.181111
Moston Rail Station,53.523819,-2.170701
Greengate,53.52557,-2.17711
Greengate,53.525831,-2.177353
Kingsway,53.43219,-2.206643
Northwold Drive,53.52763,-2.183606
Moorway Drive,53.52899,-2.187534
Moorway Drive,53.52913,-2.188802
Amesbury Road,53.5302,-2.202112
Amesbury Road,53.52982,-2.202095
Colmore Drive,53.52978,-2.192908
Lily Lane,53.51126,-2.196322
Moston Lane,53.51368,-2.196574
Dalbeattie Street,53.51377,-2.212047
Hillier Street North,53.513365,-2.206598
Hillier Street North,53.51331,-2.207536
Edward Street,53.513287,-2.2049
Mowers Arms,53.51381,-2.203014
Cole Street,53.51375,-2.200435
Cole Street,53.513795,-2.200852
The Fairway,53.51751,-2.171301
The Fairway,53.51773,-2.172614
St Mary's Road,53.51782,-2.175736
St Mary's Road,53.51788,-2.177244
Arden Grove,53.51532,-2.179842
Arden Grove,53.51596,-2.179378
The Unicorn,53.483085,-2.237753
Thomas Street,53.48355,-2.234395
Thomas Street,53.48381,-2.234019
Warwick Street,53.48396,-2.233613
Oldham Road,53.48648,-2.230598
Thompson Street,53.48674,-2.228248
Jersey Street,53.48298,-2.229298
Jersey Street,53.48302,-2.229795
Stevenson Square,53.48267,-2.234329
St Peter's High School,53.46003,-2.192169
Stanley Grove,53.45906,-2.191367
Penketh Avenue,53.45914,-2.188039
Penketh Avenue,53.45918,-2.187195
Bourton Drive,53.45995,-2.184262
Fernhill Drive,53.46011,-2.182982
Broom Lane,53.44559,-2.181776
Broom Lane,53.4453,-2.18316
Levenshulme Library,53.44524,-2.185222
Levenshulme Library,53.44537,-2.185313
Cardus Street,53.44499,-2.19034
Cardus Street,53.44491,-2.190761
Ebsworth Street,53.51397,-2.197526
Wellington Street,53.46052,-2.169836
Wellington Street,53.46087,-2.172277
Whitwell Way,53.46164,-2.175398
Sunny Brow Road,53.46194,-2.17808
Chatsworth Road,53.46203,-2.178593
Belle Vue,53.46311,-2.182001
Belle Vue,53.46317,-2.183131
Belle Vue,53.463037,-2.183929
Pottery Lane,53.46938,-2.194938
Clowes Street,53.46912,-2.195901
Woodfall Close,53.468918,-2.197425
Kempley Close,53.46877,-2.197903
Kelsall Street,53.4685,-2.19983
Kelsall Street,53.4682,-2.201004
Dean Lane,53.50288,-2.182277
Droylsden Road,53.50286,-2.180996
Droylsden Road,53.50335,-2.179113
Rochdale Canal,53.482464,-2.228708
Ancoats Clinic,53.482325,-2.22141
Ancoats Clinic,53.48238,-2.220916
Butler Street,53.48507,-2.215219
Butler Street,53.48476,-2.216121
Cambrian Street,53.48586,-2.213414
Cambrian Street,53.48653,-2.212107
Bradford Inn,53.48727,-2.210031
Varley Street,53.48787,-2.208888
Saxon Street,53.48845,-2.207248
Saxon Street,53.48891,-2.206407
Hulme Hall Lane,53.49014,-2.203594
Hulme Hall Lane,53.49022,-2.203851
Lord North Street,53.49179,-2.205546
Bradford Road,53.49077,-2.204079
Oldham Road,53.49465,-2.209615
Oldham Road,53.49548,-2.209875
Queens Road,53.49521,-2.212044
Varley Street,53.49442,-2.215025
Varley Street,53.49375,-2.216197
Fir Street,53.49276,-2.218333
New Allen Street,53.4915,-2.219231
Naylor Street,53.49096,-2.220207
Naylor Street,53.48991,-2.22091
Butler Street,53.48915,-2.222353
Butler Street,53.48869,-2.222502
Oldham Road,53.48789,-2.223085
Holland Street,53.48631,-2.218571
Royal Mail Office,53.4874,-2.226428
Royal Mail Office,53.48734,-2.225991
Thompson Street,53.4863,-2.228864
Old Mill Street,53.48021,-2.2241
Old Mill Street,53.48043,-2.22389
Great Ancoats Street,53.479809,-2.22137
Great Ancoats Street,53.4799,-2.221461
New Islington Metrolink Stop,53.48119,-2.218183
New Islington Metrolink Stop,53.4814,-2.218078
Pollard Street,53.48238,-2.216983
Carruthers Street,53.48218,-2.216289
Holt Town Metrolink Stop,53.48273,-2.211771
Holt Town Metrolink Stop,53.48281,-2.212525
Hillkirk Street,53.48227,-2.208318
Councillor Street,53.48216,-2.207097
Darley Street,53.48176,-2.205633
Carfax Street,53.46315,-2.169982
Etihad Stadium,53.48161,-2.202498
Etihad Stadium,53.481734,-2.201907
Grey Mare Lane,53.48147,-2.196923
Velopark Metrolink Stop,53.48204,-2.195629
Phillips Park,53.48689,-2.19844
Etihad Campus,53.48521,-2.197829
Briscoe Lane,53.4893,-2.2005
Philips Park,53.48776,-2.199634
Philips Park,53.490341,-2.200579
Philips Park,53.49052,-2.200582
Riverpark Road,53.491968,-2.19708
Riverpark Road,53.49212,-2.196957
Grimshaw Lane,53.492986,-2.194726
Grimshaw Lane,53.4936,-2.193452
Ten Acres Lane,53.49415,-2.191902
Ten Acres Lane,53.49502,-2.190127
Crayford Road,53.49557,-2.188592
Hallam Road,53.496855,-2.185726
Scotland Hall Road,53.49729,-2.18456
Scotland Hall Road,53.4977,-2.183868
Wellpark Walk,53.49889,-2.180737
Crawford Street,53.4991,-2.180467
All Saints Church,53.49977,-2.178706
Great Newton Street,53.5007,-2.179675
Great Newton Street,53.500898,-2.180374
Oldham Road,53.50214,-2.18348
Dean Lane,53.50239,-2.184944
Newton Heath Post Office,53.50216,-2.188305
Newton Heath Post Office,53.501894,-2.18954
Thorp Road,53.501311,-2.194437
Thorp Road,53.50117,-2.193848
Ten Acres Lane,53.50047,-2.19689
Ten Acres Lane,53.49976,-2.197972
Baltimore Street,53.49913,-2.200698
Grimshaw Lane,53.49855,-2.202414
Grimshaw Lane,53.49791,-2.203858
Queens Road,53.49615,-2.209833
Queens Road,53.49606,-2.210074
Alan Turing Way,53.48127,-2.196168
City Football Academy,53.482676,-2.190102
City Football Academy,53.482892,-2.189756
North Road,53.48333,-2.185328
Tartan Street,53.48608,-2.189288
Ravensbury School,53.48642,-2.189305
Ravensbury School,53.486917,-2.18809
Pioneer Street,53.48731,-2.186506
Tartan Street,53.48742,-2.184426
Tartan Street,53.48722,-2.184139
Clayton Library,53.48493,-2.182954
Clayton Library,53.4846,-2.182606
North Road,53.483937,-2.182648
Ashton New Road,53.48381,-2.18533
Clayton Street,53.48431,-2.182951
Clayton Hall Road,53.4848,-2.180557
Vale Street,53.48503,-2.179006
Vale Street,53.48542,-2.177546
Folkestone Road,53.48569,-2.173327
Folkestone Road,53.485862,-2.172268
Edge Lane,53.48595,-2.17039
Edge Lane,53.48609,-2.169787
Edge Lane Metrolink Stop,53.48117,-2.168788
Aldi,53.48151,-2.170206
Aldi,53.48148,-2.17105
Schofield Street,53.482097,-2.174609
Schofield Street,53.48205,-2.175482
Canberra Street,53.48235,-2.176704
Clayton Hall Metrolink Stop,53.48269,-2.180443
Clayton Hall Metrolink Stop,53.48302,-2.18186
North Road,53.48347,-2.185374
Oldham Road,53.49611,-2.211883
Sedgeford Road,53.49786,-2.213475
Sedgeford Road,53.4985,-2.214458
Monsall Street,53.49918,-2.214823
Monsall Street,53.5005,-2.216126
Manchester Communication Academy,53.50231,-2.217613
Queens Road,53.50013,-2.214948
Ridgewood Avenue,53.50091,-2.212993
Monsall Metrolink Stop,53.50169,-2.210479
Monsall Metrolink Stop,53.50186,-2.210253
Monsall Road,53.50256,-2.207875
Upper Monsall Street,53.50265,-2.206308
Northampton Road,53.50161,-2.205518
Monsall Road,53.50176,-2.203906
Business Park,53.502513,-2.201212
Business Park,53.50275,-2.200835
Thorp Road,53.50392,-2.196891
Thorp Road,53.50478,-2.19498
Hugo Street,53.506729,-2.193591
